;BRAND;Model;Reference;Movement;Case Material;Case size;Dial color;Bracelet Material;Gender;List Price
CRW5200004.jpg;Cartier; TANK SOLO;W5200004;Quartz;Yellow gold 18 K ;34,8 x 27,4 mm;White;Cocco;;5100
CRWSSA0009.jpg;Cartier;SANTOS DE CARTIER;WSSA0009;Automatic;Opal;39,8 mm;White;Stainles Steel;;6750
CRWSBB0020.jpg;Cartier;BALLON BLEU DE CARTIER;WSBB0020;Automatic;Steel;37 mm;White;Coccp;;7100
CRWGPN0009.jpg;Cartier;PANTHÌöRE DE CARTIER;WGPN0009;Quartz;Yellow gold 18 K ;27 x 37 mm;White;Yellow gold 18 K ;;22600
CAW211P-FC6356.png;Tag Heuer;MONACOåÊCALIBRE 11;CAW211P.FC6356;Automatic;Steel;39 mm;Blue;Black calf;;5250
CAR2A90.FT6071.jpg;Tag Heuer;"CARRERA 
CALIBRE HEUER 01CARRERA 
CALIBRE HEUER 01";CAR2A90.FT6071;Automatic;Black ceramic;45 mm;Black;Black rubber;;5750
CAR201P.BA0766.png;Tag Heuer;"CARRERA 
CALIBRE HEUER 01CARRERA 
CALIBRE HEUER 01";CAR201P.BA0766;Automatic;Steel;43 mm;Black;Stainles Steel;;8750
IW371445.jpeg;IWC;PORTUGIESER CHRONOGRAPH;IW371445;Automatic;Steel;40,9 mm;ArgentÌ©;Alligator;;7700
IW390502.jpeg;IWC;PORTUGIESER YACHT CLUB CHRONOGRAPH;IW390502;Automatic;Steel;43,5 mm;ArgentÌ©;Black rubber;;12300
IW510103.jpeg;IWC;PORTOFINO HAND-WOUND EIGHT DAYS;IW510103;Manual;Steel;45 mm;ArgentÌ©;Alligator;;9950
IW357003.jpeg;IWC;INGENIEUR AUTOMATIC;IW357002;Automatic;Steel;40 mm;Black;Stainles Steel;;6250
UN1183.png;Ulysse Nardin;Marine Torpilleur;1183-310-3/40åÊ;Automatic;Steel;42 mm;White;Rubber;;6900
UN8163.png;Ulysse Nardin;Diver 42 mm;8163-175-7MIL/92;Automatic;Steel;42 mm;Black;Stainles Steel;;6500
UN3203_MANARA.png;Ulysse Nardin;Classico Manufacture;3203-136LE-2/MANARA.07;Automatic;Steel;40 mm;Milo Manara Miniature;Alligator;;26900
UN2303.png;Ulysse Nardin;Freak X;2303-270.1/BLACK;Automatic;Titanium;43 mm;Black;Black calf;;21000
VC86060.png;Vacheron Constantin;TRADITIONNELLEWORLD HOURS;86060/000G-8982;Automatic;White gold 18k;42,5 mm;Transparent;Alligator;;51500
VC82020.png;Vacheron Constantin;MÌäTIERS D'ART MÌäCANIQUES AJOURÌäES;82020/000G-9924;Manual;White gold 18k;40 mm;Transparent;Alligator;;73500
PAM00372.png;Panerai;LUMINOR - 47MM;PAM00372;Manual;Steel;47 mm;Black ;;;8800
PAM00424.png;Panerai;RADIOMIR CALIFORNIA - 47MM;PAM00424;Manual;Steel;48 mm;Black ;;;7500
PAM799.png;Panerai;SUBMERSIBLE BMG-TECHã¢;PAM00799;Automatic;BMG-TECH;47 mm;Black ;;;14900